,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,438.6000061035156,471.85,334.25,569.57,38.9,11.2750644242549
1,EVE.SW,1.0,hold,3.0,0.08269999921321869,0.28,0.28,0.28,-0.02,-4.1349999606609344
2,MBTN.SW,9.0,buy,2.4,0.671999990940094,0.66,0.31,0.96,0.01,67.1999990940094
3,ASWN.SW,1.0,buy,2.0,2.2200000286102295,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,2.890000104904175,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.7,6.829999923706055,8.8,4.0,16.0,0.88,7.761363549665972
6,F3C.DE,5.0,buy,1.6,24.350000381469727,33.2,28.0,35.0,0.32,76.0937511920929
7,VOW3.DE,24.0,buy,2.2,130.97999572753906,186.5,115.0,320.0,29.11,4.499484566387464
8,NOVO-B.CO,27.0,buy,2.4,969.5,975.04,625.0,1200.0,35.52,27.29448198198198
9,ALJXR.PA,,none,,0.04089999943971634,,,,,
10,LIN,14.0,buy,1.9,323.5,342.21,279.59,374.45,12.83,25.214341387373345
11,NEL.OL,22.0,hold,3.0,17.639999389648438,15.15,7.0,25.0,-0.42,-41.999998546781995
12,BLDP,23.0,hold,2.9,6.170000076293945,8.24,4.0,19.0,-0.5,-12.34000015258789
13,UUUU,3.0,buy,2.0,7.190000057220459,10.33,8.5,13.0,0.01,719.0000057220459
14,SHOP,40.0,hold,2.6,44.90999984741211,44.36,28.0,81.43,0.22,204.1363629427823
15,ONON,12.0,buy,2.2,22.15999984741211,26.28,16.48,30.97,0.45,49.244444105360245
16,BE,20.0,buy,2.2,23.389999389648438,30.15,21.0,40.0,0.49,47.73469263193559
17,CLNE,10.0,buy,2.0,5.840000152587891,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,24.549999237060547,43.98,12.74,70.0,-0.03,-818.3333079020183
19,SQ,40.0,buy,2.1,78.62999725341797,90.19,51.0,150.0,1.72,45.71511468221975
20,EQNR,2.0,buy,2.0,31.649999618530273,41.6,36.2,47.0,6.14,5.154723064907211
21,FCEL,8.0,hold,3.3,3.6500000953674316,3.22,2.0,4.0,-0.23,-15.86956563203231
22,QS,9.0,hold,3.1,9.8100004196167,12.11,3.0,25.0,-0.83,-11.819277613996023
23,PCELL.ST,4.0,hold,3.0,141.85000610351562,155.0,135.0,180.0,-1.23,-115.32520821424035
24,PLUG,29.0,buy,2.1,15.84000015258789,27.34,13.0,78.0,-0.66,-24.000000231193773
25,SNPS,14.0,buy,1.7,359.7099914550781,416.99,356.9,467.0,11.83,30.406592684283865
26,CWR.L,13.0,buy,1.9,447.29998779296875,915.77,365.0,1560.0,-12.53,-35.698323048122006
